,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91786,2022-2023,EPL,Newcastle Utd,Miguel Almirón,py PAR,FW,29.0,24.0,1978.0,22.0,11.0,1.0,12.0,11.0,0.0,0.0,2.0,0.0,61.0,105.0,200.0,0.5,0.05,0.55,0.5,0.55,6.0,6.0,1.5,7.6,0.28,0.07,0.35,0.28,0.35
91787,2022-2023,EPL,Newcastle Utd,Fabian Schär,ch SUI,DF,31.0,23.0,2053.0,22.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,20.0,94.0,17.0,0.04,0.0,0.04,0.04,0.04,3.0,3.0,1.0,4.0,0.14,0.05,0.18,0.14,0.18
91788,2022-2023,EPL,Newcastle Utd,Sven Botman,nl NED,DF,23.0,22.0,1957.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,1.9,0.05,0.04,0.09,0.05,0.09
91789,2022-2023,EPL,Newcastle Utd,Sean Longstaff,eng ENG,MF,25.0,21.0,1927.0,21.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,12.0,87.0,80.0,0.05,0.14,0.19,0.05,0.19,2.4,2.4,2.8,5.2,0.12,0.14,0.26,0.12,0.26
91790,2022-2023,EPL,Newcastle Utd,Joelinton,br BRA,"MF,FW",26.0,21.0,1850.0,20.6,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,45.0,89.0,105.0,0.1,0.05,0.15,0.1,0.15,3.4,3.4,1.8,5.2,0.17,0.09,0.25,0.17,0.25
91791,2022-2023,EPL,Newcastle Utd,Joe Willock,eng ENG,MF,23.0,21.0,1717.0,19.1,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,57.0,73.0,89.0,0.1,0.16,0.26,0.1,0.26,3.3,3.3,3.5,6.7,0.18,0.19,0.37,0.18,0.37
91792,2022-2023,EPL,Newcastle Utd,Bruno Guimarães,br BRA,MF,25.0,19.0,1577.0,17.5,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,18.0,116.0,12.0,0.17,0.17,0.34,0.17,0.34,0.9,0.9,1.8,2.7,0.05,0.11,0.16,0.05,0.16
91793,2022-2023,EPL,Newcastle Utd,Callum Wilson,eng ENG,FW,31.0,15.0,1239.0,13.8,7.0,3.0,10.0,6.0,1.0,1.0,3.0,0.0,20.0,14.0,81.0,0.51,0.22,0.73,0.44,0.65,8.5,7.7,1.6,9.3,0.63,0.12,0.75,0.57,0.69
91794,2022-2023,EPL,Newcastle Utd,Allan Saint-Maximin,fr FRA,FW,26.0,8.0,822.0,9.1,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,56.0,42.0,78.0,0.11,0.33,0.44,0.11,0.44,1.2,1.2,1.9,3.2,0.15,0.23,0.38,0.15,0.38
91795,2022-2023,EPL,Newcastle Utd,Jacob Murphy,eng ENG,FW,28.0,6.0,682.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,25.0,58.0,0.13,0.13,0.26,0.13,0.26,0.8,0.8,0.7,1.5,0.12,0.1,0.22,0.12,0.22
