Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
2017-2018,EPL,Arsenal,Reiss Nelson,eng ENG,"FW,MF",17.0,1.6,4.0,2.48,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Olivier Giroud,fr FRA,FW,30.0,4.3,14.0,3.25,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Francis Coquelin,fr FRA,"MF,DF",26.0,1.9,2.0,1.13,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Joe Willock,eng ENG,MF,17.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Theo Walcott,eng ENG,"FW,MF",28.0,0.8,1.0,1.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Eddie Nketiah,eng ENG,FW,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Squad Total,,,26.8,38.0,1079.0,28.39,830.0,53.0,70.0,65.0,53.0,8.0,131.0,3.45,95.0,8.0,7.0,12.0,7.0,2.0,
2017-2018,EPL,Arsenal,Opponent Total,,,27.0,38.0,730.0,19.21,504.0,78.0,53.0,38.0,42.0,15.0,89.0,2.34,69.0,4.0,7.0,4.0,4.0,1.0,
2017-2018,EPL,Burnley,Jack Cork,eng ENG,MF,28.0,38.0,67.0,1.76,53.0,2.0,2.0,3.0,5.0,2.0,5.0,0.13,4.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Nick Pope,eng ENG,GK,25.0,34.6,11.0,0.32,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Jóhann Berg Guðmundsson,is ISL,MF,26.0,31.5,117.0,3.72,53.0,42.0,9.0,7.0,6.0,0.0,9.0,0.29,5.0,2.0,0.0,2.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,James Tarkowski,eng ENG,DF,24.0,31.0,23.0,0.74,20.0,0.0,1.0,2.0,0.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Ben Mee,eng ENG,DF,27.0,29.0,26.0,0.9,22.0,0.0,0.0,3.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Jeff Hendrick,ie IRL,"FW,MF",25.0,25.9,51.0,1.97,38.0,0.0,5.0,3.0,4.0,1.0,3.0,0.12,1.0,0.0,1.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Stephen Ward,ie IRL,DF,31.0,27.3,24.0,0.88,19.0,1.0,2.0,0.0,2.0,0.0,2.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Matthew Lowton,eng ENG,DF,28.0,25.5,34.0,1.33,25.0,3.0,0.0,1.0,4.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Steven Defour,be BEL,MF,29.0,22.2,45.0,2.03,40.0,0.0,1.0,4.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Ashley Barnes,eng ENG,FW,27.0,24.1,51.0,2.12,34.0,0.0,4.0,2.0,11.0,0.0,7.0,0.29,5.0,0.0,1.0,0.0,1.0,0.0,Matches
2017-2018,EPL,Burnley,Chris Wood,nz NZL,FW,25.0,18.0,29.0,1.61,21.0,0.0,3.0,2.0,3.0,0.0,3.0,0.17,1.0,0.0,0.0,2.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Kevin Long,ie IRL,DF,26.0,16.0,10.0,0.62,8.0,0.0,0.0,1.0,0.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Scott Arfield,ca CAN,"MF,FW",28.0,14.8,22.0,1.49,14.0,0.0,3.0,3.0,2.0,0.0,3.0,0.2,1.0,0.0,1.0,0.0,1.0,0.0,Matches
2017-2018,EPL,Burnley,Robbie Brady,ie IRL,MF,25.0,14.2,59.0,4.16,19.0,30.0,3.0,4.0,2.0,1.0,5.0,0.35,3.0,1.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Phil Bardsley,sct SCO,DF,32.0,12.5,14.0,1.12,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Aaron Lennon,eng ENG,MF,30.0,12.4,22.0,1.77,13.0,0.0,1.0,5.0,2.0,1.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Ashley Westwood,eng ENG,MF,27.0,12.3,17.0,1.38,14.0,2.0,0.0,1.0,0.0,0.0,2.0,0.16,0.0,1.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Charlie Taylor,eng ENG,DF,23.0,10.6,13.0,1.23,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Sam Vokes,wls WAL,FW,27.0,11.1,20.0,1.8,14.0,0.0,0.0,2.0,4.0,0.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Tom Heaton,eng ENG,GK,31.0,3.4,2.0,0.59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Georges-Kévin N'Koudou,cm CMR,"MF,FW",22.0,2.5,6.0,2.37,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Nahki Wells,bm BER,"FW,MF",27.0,0.6,1.0,1.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Jonathan Walters,ie IRL,FW,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Burnley,Aiden O'Neill,au AUS,MF,19.0,0.0,,,,,,,,,,,,,,,,,Matches
2017-2018,EPL,Burnley,Squad Total,,,27.5,38.0,664.0,17.47,441.0,88.0,36.0,43.0,48.0,8.0,58.0,1.53,37.0,4.0,4.0,11.0,2.0,0.0,
2017-2018,EPL,Burnley,Opponent Total,,,27.0,38.0,1032.0,27.16,783.0,78.0,61.0,59.0,39.0,12.0,68.0,1.79,45.0,4.0,6.0,8.0,3.0,2.0,
2017-2018,EPL,Everton,Jordan Pickford,eng ENG,GK,23.0,38.0,6.0,0.16,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Everton,Idrissa Gana Gueye,sn SEN,MF,27.0,30.6,49.0,1.6,40.0,0.0,2.0,0.0,3.0,4.0,3.0,0.1,1.0,0.0,0.0,0.0,0.0,2.0,Matches
2017-2018,EPL,Everton,Michael Keane,eng ENG,DF,24.0,28.4,15.0,0.53,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Everton,Wayne Rooney,eng ENG,"MF,FW",31.0,25.2,65.0,2.58,46.0,13.0,0.0,4.0,0.0,2.0,8.0,0.32,5.0,1.0,0.0,2.0,0.0,0.0,Matches
